"","Gene Set","P Value  0","P Value  1","P Value  2","P Value  3","P Value  4","P Value  5","P Value  6","P Value  7","P Value  8","P Value  9","P Value  10","P Value  11","P Value  12","P Value  13","P Value  14","P Value  15","P Value  16","P Value  17","Fold Change  0","Fold Change  1","Fold Change  2","Fold Change  3","Fold Change  4","Fold Change  5","Fold Change  6","Fold Change  7","Fold Change  8","Fold Change  9","Fold Change  10","Fold Change  11","Fold Change  12","Fold Change  13","Fold Change  14","Fold Change  15","Fold Change  16","Fold Change  17"
"Ovary_dm_32339165_Jevitt","Adipocytes","3.17e-2","3.51e-2","-","-","-","-","-","1.61e-1","5.78e-3","3.51e-2","1.61e-1","-","-","3.88e-8","7.56e-4","-","1.61e-1","3.51e-2","4.3541","4.1799","-","-","-","-","-","2.7866","5.5732","4.1799","2.7866","-","-","12.5397","6.9665","-","2.7866","4.1799"
"Ovary_dm_FCAvs2_10x","adult tracheal cell","-","7.56e-4","-","-","5.73e-7","8.12e-5","3.51e-2","1.00e-25","5.78e-3","8.12e-5","-","-","-","8.12e-5","5.78e-3","3.51e-2","7.56e-4","7.36e-6","-","6.9665","-","-","11.1464","8.3598","4.1799","32.0459","5.5732","8.3598","-","-","-","8.3598","5.5732","4.1799","6.9665","9.7531"
"Ovary_dm_FCAvs2_10x","artefact","-","-","1.00e-25","-","-","-","1.00e-25","-","-","-","-","1.00e-25","-","-","-","-","-","-","-","-","37.6191","-","-","-","39.0124","-","-","-","-","48.7655","-","-","-","-","-","-"
"Ovary_dm_31919193_Slaidina","CC","6.46e-5","3.51e-2","3.51e-2","5.78e-3","2.32e-9","-","-","-","7.56e-4","8.12e-5","7.56e-4","-","5.78e-3","5.78e-3","-","-","5.78e-3","1.61e-1","8.7081","4.1799","4.1799","5.5732","13.933","-","-","-","6.9665","8.3598","6.9665","-","5.5732","5.5732","-","-","5.5732","2.7866"
"Ovary_dm_FCAvs2_10x","central main body follicle cell ca. St. 6-8","1.00e-25","3.51e-2","-","1.61e-1","5.78e-3","-","-","-","1.61e-1","-","1.00e-25","-","1.61e-1","-","-","3.51e-2","5.92e-12","-","30.4784","4.1799","-","2.7866","5.5732","-","-","-","2.7866","-","30.6526","-","2.7866","-","-","4.1799","16.7196","-"
"Ovary_dm_32339165_Jevitt","Centripetal and Border Cells","-","-","-","-","1.61e-1","-","-","-","-","3.51e-2","2.32e-9","-","1.61e-1","1.61e-1","-","-","1.00e-25","8.12e-5","-","-","-","-","2.7866","-","-","-","-","4.1799","13.933","-","2.7866","2.7866","-","-","32.0459","8.3598"
"Ovary_dm_FCAvs2_10x","choriogenic main body follicle cell and corpus luteum","-","1.32e-25","-","-","-","-","-","1.61e-1","3.58e-16","1.00e-25","-","-","-","1.00e-25","1.00e-25","-","-","1.61e-1","-","29.2593","-","-","-","-","-","2.7866","20.8995","71.0583","-","-","-","58.5186","69.665","-","-","2.7866"
"Ovary_dm_FCAvs2_10x","choriogenic main body follicle cell St. 12","1.51e-1","5.78e-3","-","1.00e-25","1.61e-1","-","-","-","1.23e-10","5.78e-3","1.61e-1","-","1.00e-25","-","3.51e-2","1.00e-25","3.51e-2","-","2.9027","5.5732","-","44.5856","2.7866","-","-","-","15.3263","5.5732","2.7866","-","94.7444","-","4.1799","45.9789","4.1799","-"
"Ovary_dm_FCAvs2_10x","choriogenic main body follicle cell St. 14","1.51e-1","1.00e-25","-","-","-","-","-","5.78e-3","1.00e-25","9.81e-21","1.61e-1","-","5.73e-7","5.73e-7","1.00e-25","3.51e-2","-","5.78e-3","2.9027","34.8325","-","-","-","-","-","5.5732","105.8908","25.0794","2.7866","-","11.1464","11.1464","37.6191","4.1799","-","5.5732"
"Ovary_dm_32339165_Jevitt","Choriogenic MBFCs (Stg. 10B)","6.28e-4","3.51e-2","-","5.73e-7","3.51e-2","-","-","1.61e-1","7.56e-4","7.36e-6","1.00e-14","-","2.32e-9","1.61e-1","5.78e-3","1.00e-25","5.78e-3","3.51e-2","7.2568","4.1799","-","11.1464","4.1799","-","-","2.7866","6.9665","9.7531","19.5062","-","13.933","2.7866","5.5732","51.5521","5.5732","4.1799"
"Ovary_dm_32339165_Jevitt","Choriogenic MBFCs (Stg. 12)","5.01e-3","3.51e-2","-","2.52e-22","1.61e-1","-","-","5.78e-3","5.92e-12","5.78e-3","8.12e-5","-","1.00e-25","7.56e-4","3.51e-2","1.00e-25","1.61e-1","-","5.8054","4.1799","-","26.4727","2.7866","-","-","5.5732","16.7196","5.5732","8.3598","-","57.1253","6.9665","4.1799","50.1588","2.7866","-"
"Ovary_dm_32339165_Jevitt","Choriogenic MBFCs (Stg. 14) 1","-","4.67e-24","-","-","-","-","-","5.92e-2","1.00e-25","5.12e-12","-","-","4.50e-5","1.36e-13","4.67e-24","-","-","-","-","43.0656","-","-","-","-","-","5.0665","75.9982","25.3327","-","-","12.6664","27.866","43.0656","-","-","-"
"Ovary_dm_32339165_Jevitt","Choriogenic MBFCs (Stg. 14) 2","-","3.88e-8","-","1.61e-1","1.61e-1","-","-","2.32e-9","1.23e-10","1.00e-25","-","-","3.51e-2","1.00e-25","1.00e-25","7.56e-4","-","1.61e-1","-","12.5397","-","2.7866","2.7866","-","-","13.933","15.3263","54.3387","-","-","4.1799","33.4392","37.6191","6.9665","-","2.7866"
