group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
7,dar1,11.144033,10.677786,8.429922971364056e-22,4.2361421966653544e-21,0.4817073170731707,0.0002995805871779509
7,IRSp53,17.438477,10.466639,4.178595673065952e-39,3.038978671320692e-38,0.7073170731707317,0.0019472738166566807
7,CG17111,11.427226,10.41974,1.3835063709840024e-22,7.224576349785913e-22,0.4817073170731707,0.0007489514679448772
7,lncRNA:CR42651,4.065079,10.114322,7.453623449390138e-05,0.0001652688126250585,0.10365853658536585,0.00014979029358897544
7,CG11892,24.837503,10.113968,2.63921806476147e-57,2.8226931173919464e-56,0.8536585365853658,0.0046434991012582385
7,CCHa2,6.4649897,10.0517,1.1248369533988329e-09,3.5539872145302778e-09,0.22560975609756098,0.0004493708807669263
7,SoxN,6.0335813,9.619684,1.0430063050660286e-08,3.104185431744133e-08,0.2073170731707317,0.0002995805871779509
7,CG6409,5.6174736,9.359519,8.195760598317013e-08,2.3250384676076635e-07,0.18902439024390244,0.0004493708807669263
7,Tsp29Fb,14.616836,9.358104,1.8507845522705405e-31,1.1531367926919255e-30,0.6097560975609756,0.0014979029358897543
7,abd-A,70.81739,9.298636,1.5195269685750249e-125,3.4931654450000574e-124,0.9939024390243902,0.019772318753744758
7,Ugt49C1,11.351683,9.257267,2.2400445936084697e-22,1.1576457848105787e-21,0.4817073170731707,0.0017974835230677051
7,CG9400,15.2022,9.04377,4.544340419202471e-33,2.903731897253975e-32,0.6463414634146342,0.003744757339724386
8,CG8927,4.7931566,8.304909,3.168208068914748e-06,6.063556112755499e-06,0.11274509803921569,0.0004520795660036166
8,CG18088,20.619453,7.434481,9.960990434619218e-52,7.489466492194901e-51,0.75,0.028179626280892104
8,CG11131,7.3169355,7.2578125,5.775304774629214e-12,1.4846541837093095e-11,0.23039215686274508,0.0018083182640144665
8,CG13012,26.11315,6.664582,5.457173998654369e-67,5.247282691013817e-66,0.8676470588235294,0.036317058468957206
8,pwn,58.69449,6.6250887,5.80365194656573e-133,1.4330004806335134e-131,0.9852941176470589,0.074291742013261
8,Vajk4,5.654089,6.4760637,5.2619294449334723e-08,1.1159977613856782e-07,0.1568627450980392,0.0019590114526823387
